日期,星期,最高气温,最低气温,天气,风向,级数
2020-01-01,星期三,10℃,7℃,晴,东北风,1级
2020-01-02,星期四,12℃,7℃,多云,东北风,1级
2020-01-03,星期五,13℃,6℃,多云,北风,1级
2020-01-04,星期六,10℃,8℃,阴,东风,1级
2020-01-05,星期日,12℃,8℃,多云,东风,1级
2020-01-06,星期一,10℃,7℃,多云,北风,2级
2020-01-07,星期二,13℃,4℃,阴,东南风,1级
2020-01-08,星期三,8℃,5℃,阴,东风,2级
2020-01-09,星期四,9℃,6℃,多云,东风,1级
2020-01-10,星期五,9℃,4℃,多云,东北风,2级
2020-01-11,星期六,12℃,4℃,晴,南风,1级
2020-01-12,星期日,11℃,3℃,多云,东风,2级
2020-01-13,星期一,12℃,5℃,多云,东北风,2级
2020-01-14,星期二,8℃,6℃,多云转阴,东风,2级
2020-01-15,星期三,9℃,5℃,多云,东风,2级
2020-01-16,星期四,11℃,4℃,晴转多云,东风,1级
2020-01-17,星期五,12℃,5℃,多云,东风,2级
2020-01-18,星期六,11℃,6℃,晴转多云,北风,2级
2020-01-19,星期日,12℃,3℃,多云,东北风,2级
2020-01-20,星期一,12℃,5℃,多云,东风,1级
2020-01-21,星期二,11℃,7℃,多云,东北风,2级
2020-01-22,星期三,14℃,7℃,阴,东北风,1级
2020-01-23,星期四,13℃,9℃,阴转雨,东南风,1级
2020-01-24,星期五,10℃,7℃,阴转多云,东北风,2级
2020-01-25,星期六,10℃,3℃,多云,东风,2级
2020-01-26,星期日,11℃,5℃,多云,东风,2级
2020-01-27,星期一,10℃,4℃,阴,东北风,2级
2020-01-28,星期二,12℃,5℃,晴转多云,东北风,1级
2020-01-29,星期三,15℃,3℃,晴,西南风,1级
2020-01-30,星期四,13℃,5℃,阴转雨,东南风,1级
2020-01-31,星期五,10℃,7℃,阴,东北风,2级
