日期,星期,最高气温,最低气温,天气,风向,级数
2021-04-01,星期四,14℃,10℃,多云,东南风,1级
2021-04-02,星期五,14℃,10℃,多云,东南风,1级
2021-04-03,星期六,20℃,9℃,阴,东南风,2级
2021-04-04,星期日,11℃,10℃,多云,东北风,1级
2021-04-05,星期一,19℃,12℃,多云,东风,1级
2021-04-06,星期二,14℃,11℃,阴,东北风,1级
2021-04-07,星期三,18℃,6℃,晴,东风,2级
2021-04-08,星期四,21℃,13℃,小雨,东北风,2级
2021-04-09,星期五,14℃,12℃,小雨,东北风,1级
2021-04-10,星期六,14℃,5℃,阴,东风,1级
2021-04-11,星期日,15℃,11℃,多云,东北风,1级
2021-04-12,星期一,20℃,13℃,阴,东北风,1级
2021-04-13,星期二,23℃,13℃,阴,东北风,2级
2021-04-14,星期三,17℃,12℃,多云,东北风,2级
2021-04-15,星期四,14℃,11℃,多云,西北风,1级
2021-04-16,星期五,22℃,13℃,阴,东风,1级
2021-04-17,星期六,18℃,14℃,小雨转阴,北风,1级
2021-04-18,星期日,14℃,12℃,阴,东北风,1级
2021-04-19,星期一,15℃,12℃,阴,东北风,1级
2021-04-20,星期二,21℃,14℃,阴,东风,1级
2021-04-21,星期三,24℃,15℃,阴,东风,1级
2021-04-22,星期四,23℃,16℃,阴,东北风,1级
2021-04-23,星期五,25℃,16℃,小雨转阴,东北风,1级
2021-04-24,星期六,18℃,14℃,小雨转阴,东北风,1级
2021-04-25,星期日,21℃,13℃,阴,东北风,1级
2021-04-26,星期一,22℃,11℃,小雨,东风,2级
2021-04-27,星期二,24℃,13℃,小雨,东风,1级
2021-04-28,星期三,17℃,13℃,多云,东北风,1级
2021-04-29,星期四,18℃,15℃,多云,西风,2级
2021-04-30,星期五,29℃,17℃,多云,东北风,2级
