日期,星期,最高气温,最低气温,天气,风向,级数
2020-12-01,星期二,5℃,-1℃,多云,东北风,2级
2020-12-02,星期三,9℃,6℃,阴,北风,1级
2020-12-03,星期四,7℃,5℃,阴,北风,2级
2020-12-04,星期五,6℃,5℃,阴,北风,2级
2020-12-05,星期六,8℃,6℃,阴,北风,2级
2020-12-06,星期日,9℃,6℃,阴,北风,2级
2020-12-07,星期一,8℃,5℃,阴,西风,1级
2020-12-08,星期二,5℃,0℃,阴,东风,2级
2020-12-09,星期三,9℃,6℃,阴,北风,1级
2020-12-10,星期四,11℃,7℃,阴,西北风,1级
2020-12-11,星期五,11℃,7℃,阴,西北风,1级
2020-12-12,星期六,13℃,8℃,阴,东北风,1级
2020-12-13,星期日,10℃,4℃,阴,西北风,1级
2020-12-14,星期一,7℃,3℃,阴,北风,2级
2020-12-15,星期二,7℃,4℃,阴,北风,2级
2020-12-16,星期三,6℃,4℃,小雨,北风,2级
2020-12-17,星期四,4℃,3℃,阴,北风,2级
2020-12-18,星期五,8℃,3℃,阴,西北风,2级
2020-12-19,星期六,9℃,2℃,多云,东北风,1级
2020-12-20,星期日,9℃,2℃,多云,东南风,1级
2020-12-21,星期一,9℃,3℃,阴,东南风,1级
2020-12-22,星期二,8℃,5℃,阴,东风,1级
2020-12-23,星期三,13℃,4℃,晴,东南风,1级
2020-12-24,星期四,11℃,4℃,阴,东南风,1级
2020-12-25,星期五,11℃,6℃,阴,东风,1级
2020-12-26,星期六,11℃,5℃,晴,南风,1级
2020-12-27,星期日,12℃,5℃,霾,东风,1级
2020-12-28,星期一,8℃,5℃,霾,西南风,1级
2020-12-29,星期二,8℃,3℃,多云,南风,2级
2020-12-30,星期三,4℃,3℃,阴,北风,2级
2020-12-31,星期四,6℃,1℃,阴,西风,1级
